timestamp,station,rainfall_mm,source
2026-02-01 09:51:08,IBALAN17,0.0,weather
2026-02-01 09:51:08,ITABAL8,0.0,weather
2026-02-01 09:51:08,ITABAL9,0.51,weather
2026-02-01T09:51,VP SABANG TIMUR SIS,0.0,meteobot
2026-02-01T09:51,VP OB 1 SIS,0.0,meteobot
2026-02-01T09:52,PITSTOP AMBON SIS,0.0,meteobot
2026-02-01T09:51,CSA BONTANG SIS,0.0,meteobot
2026-02-01 12:17:17,IBALAN17,0.0,weather
2026-02-01 12:17:17,ITABAL8,0.0,weather
2026-02-01 12:17:17,ITABAL9,0.51,weather
2026-02-01T12:17,VP SABANG TIMUR SIS,0.0,meteobot
2026-02-01T12:17,VP OB 1 SIS,0.0,meteobot
2026-02-01T12:18,PITSTOP AMBON SIS,0.0,meteobot
2026-02-01T12:17,CSA BONTANG SIS,0.0,meteobot
